,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1034,0.0008002281188964844,0.0004001177105801253,0.0004001617431640625,0.000490096065864152,1,2,46.41588833612773,rbf,"{'C': 1, 'degree': 2, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
74,0.00039987564086914064,0.0004897457332026785,0.0005996227264404297,0.0004895904710250325,0.001,2,46.41588833612773,rbf,"{'C': 0.001, 'degree': 2, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
114,0.0007994651794433593,0.0003997326323827616,0.0006003856658935546,0.0004902129130140637,0.001,3,46.41588833612773,rbf,"{'C': 0.001, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
914,0.0007997989654541015,0.0003998995218167223,0.0006003856658935546,0.0004902130057793287,0.5,3,46.41588833612773,rbf,"{'C': 0.5, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
194,0.0006006240844726562,0.0004904076582148149,0.0003996849060058594,0.0004895120620278284,0.005,1,46.41588833612773,rbf,"{'C': 0.005, 'degree': 1, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
154,0.0005995750427246094,0.0004895546028591746,0.00040001869201660155,0.0004899215434632134,0.001,4,46.41588833612773,rbf,"{'C': 0.001, 'degree': 4, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
1394,0.00039992332458496096,0.0004898043250660251,0.000600433349609375,0.0004902526195814189,10,3,46.41588833612773,rbf,"{'C': 10, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
1234,0.0006007194519042969,0.0004904875187141896,0.000599813461303711,0.0004897457099892367,5,3,46.41588833612773,rbf,"{'C': 5, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
234,0.0008004188537597656,0.0004002096115242777,0.0005999088287353515,0.0004898235384771108,0.005,2,46.41588833612773,rbf,"{'C': 0.005, 'degree': 2, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
274,0.000600433349609375,0.0004902526427708584,0.00039973258972167967,0.0004895707236560959,0.005,3,46.41588833612773,rbf,"{'C': 0.005, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
994,0.0008001327514648438,0.0004000666599022603,0.0005999088287353515,0.0004898236313161176,1,1,46.41588833612773,rbf,"{'C': 1, 'degree': 1, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
594,0.0006000518798828125,0.0004899404088551902,0.00020012855529785156,0.0004002571105957031,0.05,3,46.41588833612773,rbf,"{'C': 0.05, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
1350,0.0007991313934326172,0.00039957148322235594,0.0008012294769287109,0.0004006753885077283,10,2,2.154434690031878,rbf,"{'C': 10, 'degree': 2, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1150,0.0008009910583496094,0.00040050008518912667,0.000999784469604492,0.0010958012190137854,5,1,2.154434690031878,rbf,"{'C': 5, 'degree': 1, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1430,0.0005996227264404297,0.0004895900298295808,0.00020022392272949218,0.0004004478454589843,10,4,2.154434690031878,rbf,"{'C': 10, 'degree': 4, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1390,0.0007999897003173828,0.0003999958840103463,0.0004002094268798828,0.0004901554230028116,10,3,2.154434690031878,rbf,"{'C': 10, 'degree': 3, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1070,0.00020008087158203126,0.0004001617431640625,0.00039973258972167967,0.0004895704449951435,1,3,2.154434690031878,rbf,"{'C': 1, 'degree': 3, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1190,0.0008002281188964844,0.00040011509654356566,0.0004004955291748047,0.0004905053147165716,5,2,2.154434690031878,rbf,"{'C': 5, 'degree': 2, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
990,0.0005997657775878906,0.000489706714496402,0.0006002902984619141,0.0004901352159399084,1,1,2.154434690031878,rbf,"{'C': 1, 'degree': 1, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1270,0.0006001472473144531,0.0004900186472294195,0.0007993698120117188,0.0003996851904469167,5,4,2.154434690031878,rbf,"{'C': 5, 'degree': 4, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1230,0.0005997657775878906,0.0004897071091561862,0.0007998466491699219,0.0007482521393573288,5,3,2.154434690031878,rbf,"{'C': 5, 'degree': 3, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1110,0.0007997989654541015,0.000399900602111587,0.0004004001617431641,0.000490388050395062,1,4,2.154434690031878,rbf,"{'C': 1, 'degree': 4, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1310,0.0005995750427246094,0.0004895512588071628,0.0006002902984619141,0.000490135192744913,10,1,2.154434690031878,rbf,"{'C': 10, 'degree': 1, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1030,0.000800180435180664,0.00040009071130587415,0.00020008087158203126,0.0004001617431640626,1,2,2.154434690031878,rbf,"{'C': 1, 'degree': 2, 'gamma': 2.154434690031878, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5833333333333334,0.5,0.5166666666666667,0.03333333333333335,1137
1427,0.0007998943328857422,0.000399952151527548,0.0006003856658935546,0.000490213492796682,10,4,0.1,sigmoid,"{'C': 10, 'degree': 4, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1387,0.0005999088287353515,0.0004898236081063675,0.00020012855529785156,0.0004002571105957031,10,3,0.1,sigmoid,"{'C': 10, 'degree': 3, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1238,0.0006003856658935546,0.000490213956622283,0.0006000995635986328,0.000489979334704009,5,3,1000.0,rbf,"{'C': 5, 'degree': 3, 'gamma': 1000.0, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1235,0.0005996227264404297,0.0004895912373109247,0.0001998424530029297,0.0003996849060058594,5,3,46.41588833612773,sigmoid,"{'C': 5, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1391,0.00019998550415039061,0.00039997100830078123,0.0008001327514648438,0.0004000665178173663,10,3,2.154434690031878,sigmoid,"{'C': 10, 'degree': 3, 'gamma': 2.154434690031878, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1435,0.0004000663757324219,0.000489979334704009,0.0006001949310302735,0.0004900571400079585,10,4,46.41588833612773,sigmoid,"{'C': 10, 'degree': 4, 'gamma': 46.41588833612773, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1219,0.00059967041015625,0.0004896294897072017,0.00040035247802734376,0.0004903300151855207,5,3,0.00021544346900318823,sigmoid,"{'C': 5, 'degree': 3, 'gamma': 0.00021544346900318823, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1395,0.00039958953857421875,0.0004893952612605717,0.0,0.0,10,3,46.41588833612773,sigmoid,"{'C': 10, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
1398,0.0009998321533203126,2.0817642167037077e-06,0.0006030559539794922,0.0004924230772735688,10,3,1000.0,rbf,"{'C': 10, 'degree': 3, 'gamma': 1000.0, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1149
